node,Degree Centrality
499756,0.181863413552282
16453,0.1740968218248002
124836,0.14859713120210966
268072,0.11759515509316257
794230,0.11392255100909927
16787,0.10013130136705481
100248,0.09627792354411899
502887,0.0891497462410656
16454,0.07900970124046183
614020,0.07897023043378901
85724,0.07798058154213137
371461,0.07661603847068228
631825,0.07534249425230466
1053396,0.07139153338119314
1343004,0.07079737060011627
184221,0.06921916965259922
282277,0.0630153315262796
355330,0.061089604222545765
847509,0.05993022603945628
153248,0.05879720523230409
316124,0.05760359768288717
628506,0.05555366198823022
16455,0.054964345994070844
154274,0.0545864736194415
201168,0.05276460700867486
695178,0.052064548442122834
690829,0.05154773444160232
340968,0.050809573165198574
170443,0.04954951702310487
287150,0.04934735023107767
236410,0.04619469492219661
113082,0.04536476761107409
365157,0.04389902965128987
712005,0.04373035617060283
583326,0.04088044040346241
712166,0.04019981553551845
1106307,0.040114447410296926
458302,0.03986471463402073
550093,0.0370162440514103
237689,0.036192110772800615
828219,0.036148472915027575
1221508,0.035121737939550896
410114,0.034470272559649115
1068770,0.034454944102450716
404457,0.0343172426644624
334337,0.03359124050185404
116070,0.033306137225660365
106378,0.033076429190745
175050,0.03205818685783799
337638,0.031964772447185784
1298548,0.03156866079871257
1307377,0.03143943433828589
866977,0.031068003650458188
897001,0.030006320223962865
273320,0.029997021460594412
793469,0.029926382180712648
325009,0.02989422693336772
193674,0.029871202232107937
855718,0.029223717340763112
445375,0.02918986325876738
470044,0.029094138174610217
731519,0.028851342322502117
374805,0.02876615964445789
986252,0.028228148651545514
681798,0.02796861137316005
731178,0.027677876154306585
577097,0.02757937084488499
376121,0.02715898329199546
1149446,0.026916499556623875
1471008,0.02685087366147662
417817,0.02668714412234613
366473,0.02648978104852554
609438,0.026346596971901462
155957,0.026321059448351492
1632839,0.02631388007432199
509053,0.026173569866367347
1019650,0.026108512644125177
289566,0.026100253759600227
216546,0.02609396617889677
1139938,0.026055025916594223
326107,0.025910573268355157
368302,0.02575627204311917
1037105,0.025569781223014683
73016,0.025533190976569742
549285,0.025529189938875853
659402,0.025421707832332004
719106,0.025188641473515336
604657,0.02505183760324422
1422039,0.024669560385561125
1073988,0.02455171424690606
787633,0.02448418404844388
163080,0.024065894320893493
22893,0.024006304886325346
762747,0.023989167563412805
356899,0.02398187958112117
1136474,0.023878979309723956
909503,0.0237683804283724
83696,0.023643901490602727
275562,0.023561521406002744
579938,0.02334295051570513
